Legend,CCR-18-1_Grain_Mount,MN16-03_Thin_Section,MN16-04_Thin_Section,MN-16-04_Grain_Mount,EDF17-1_Thin_Section,EDF-17-1_Grain_Mount,MN17-11_Thin_Section,MN-17-11_Grain_Mount,MN-16-05_Thin_Section,MN16-05_Grain_Mount,MN-16-08_Grain_Mount,MN16-07_Thin_Section,MN-16-07_Grain_Mount,MN16-06_Thin_Section,MN-16-06_Grain_Mount,CC-17-GR_Thin_Section,CC-17-1_Grain_Mount
,,Upper_Modelo_Alternate_Thin_Section,Upper_Modelo_Thin_Section,Upper_Modelo_Grain_Mount,Lower_Modelo_Thin_Section,Lower_Modelo_Grain_Mount,Vaqueros_Thin_Section,Vaqueros_Grain_Mount,Vasquez_Alternate_Thin_Section,Vasquez_Alternate_Grain_Mount,Vasquez_Grain_Mount,Matilija_Thin_Section,Matilija_Grain_Mount,Juncal_Thin_Section,Juncal_Grain_Mount,,
Quartz,7.9,38.5,38.9,5.8,38.7,17,40.9,2.3,3.4,12.9,1.7,43.3,3,31.8,6.7,36.1,38.1
Plagioclase,6,29.1,32.6,2.9,28.6,7.1,28.2,0.9,9.9,58.9,7.8,28.2,4,27.7,5.1,32.5,19.5
Orthoclase,2.8,24.1,20.8,1.1,24.5,6.7,20.2,0.7,1.2,10.2,0.7,21.1,0.8,16.8,2.1,24.8,10.6
Muscovite,0.1,0.5,1.6,0.7,0.9,0.7,1.9,0.2,0.4,0.9,0.2,1.5,0.4,1.4,0.8,3.2,3.6
Biotite,0.5,0.8,3.1,2.3,2.6,1.1,2.8,0.7,0.9,3,2.6,1.2,0.5,3,2.5,3,14.9
Chlorite,0.3,0,0.1,2.5,0,1.6,0.1,1.2,0.6,0.4,1.5,0.2,0.2,1,3.6,0.1,0.3
Apatite,3.7,4.4,0.2,11,0.2,31.7,0,0.5,4.6,0.5,7.3,0.1,0.4,0.2,3.1,0,0.1
Pyroxene/Amphibole,3.4,0.2,0.8,0,0.3,0,1,0,2.1,7.5,4.6,0.8,0.1,0.2,0.2,0,0
Garnet,7.1,0.1,0,8.4,0.1,11.4,0.4,3.5,3.6,0.2,0.6,0.1,5,1.2,9,0,0
Epidote,13.7,0,0,0.2,0,0.1,0,0.4,33.1,2.3,6.7,2,26.8,0.9,3.5,0,0
Tourmaline,0.3,0.1,0,0.1,0.1,0.2,0.2,0.1,0,0,0,0,0.4,0.5,0.7,0,0
Zircon,6,0,0,5.8,0,16,0,3.8,1,0,1.3,0,1.5,0,2.8,0,0.1
Titanite,21.2,0,0,1.4,0,0,0,1.4,7.4,0.3,1.7,0.2,10.4,0.2,7.8,0,0
Rutile,3.1,0.2,0.1,2.2,0.4,4,0.1,1.7,3.7,0.2,1.1,0.2,2.2,0.5,15.7,0,0
Ilmenite,21.6,0,0.3,54,0.1,0.1,0.6,81.5,19.3,0.9,51.3,0.1,26.4,0.1,4,0,0
Chromite,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fe oxides,0.1,0,0,0.1,0.1,0.3,0.2,0.2,7,0.2,9.6,0.1,15.7,0.7,22.2,0,10.6
Other oxides,0,0,0,0.1,0,0.1,0,0.1,0.2,0,0.1,0,0,0.1,1.1,0,0.6
Other Silicates,0.1,0.2,0,0,0.1,0,0.1,0,0,0,0,0,0.1,1,0.4,0,0
Sulfides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Sulfates,0,0,0,0.2,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Olivene,0,0,0,0,0,0,0.3,0,0,0.1,0.2,0,0.1,0.1,0.5,0,0
Other REE Minerals,0.9,0,0,1.1,0,1.2,0,0.5,0.1,0,0,0,1.3,0,0.6,0,0.4
Carbonates,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,3.7,0,0
Clay Minerals,0,0.9,0.4,0,2.4,0.3,1.5,0,0.1,0.2,0.1,0.2,0,0.7,0.6,0.1,0
Clinochlore,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0.1,0.1,0.1,0,0
Ankerite+clay,0.2,0,0,0,0,0,0,0.1,0.1,0,0.2,0,0.2,0.1,0.2,0,0
[Unclassified],0.3,0.8,0.8,0.3,1,0.5,1.3,0.2,1,0.9,0.6,0.7,0.4,4.6,3,0.1,0.9
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
